sand,x,y,Bd02,Bd07,Bd08,Bd09,Bd12
1,40.32442266,37.8299682,1224,2747,2598,3658,2336
1,40.50171254,37.82988981,1560,3287,2784,3054,1866
1,40.52238517,37.83446371,1246,2240,2418,2801,2764
1,40.53918778,37.85107745,1252,2453,2622,3058,3170
1,40.54588734,37.85369445,1616,2794,2824,3155,2372
1,40.59514789,37.84685342,644,1121,1062,1483,555
1,40.66729488,37.83986288,1228,3079,2728,2787,2079
1,40.71695227,37.82718866,728,2821,2956,1677,2081
1,40.76164117,37.80015788,1324,2296,2294,2335,2556
1,40.85691251,37.8256107,1136,2452,2420,2942,2904
1,40.87092448,37.8186192,1406,2473,2278,2959,2280
1,40.88827528,37.82524335,1444,2498,2374,1744,2738
1,40.90165992,37.82144046,1674,1889,2780,2421,1459
1,40.92971385,37.81490696,1652,2993,3088,3011,3289
1,40.95375095,37.81225374,1600,2842,2832,2802,2846
1,40.96876012,37.80960225,1454,2808,2800,3109,2512
1,41.01485008,37.78938526,1942,2688,2636,2552,2884
1,41.01939452,37.77497907,1612,2949,2642,1772,2267
1,41.05044003,37.78040044,1404,2697,2910,2692,2855
1,41.08013168,37.7784417,1326,2917,2898,2809,3407
1,41.09011294,37.78186965,1570,2601,2522,2827,3095
1,41.10514307,37.75248505,1798,3104,3420,2007,3784
1,41.11232021,37.76948649,1490,2843,3028,2059,3349
1,41.11893832,37.75858183,1360,2843,2974,2714,3596
1,41.14466356,37.75795617,1298,3057,3196,2791,3478
1,41.14556704,37.75490438,1506,3224,3376,2374,3539
1,41.15142068,37.74903548,1390,2478,2626,2658,3220
1,41.15966293,37.75692813,1516,3080,3286,2997,3403
1,41.17031894,37.73856809,561,2131,1152,1669,1717
1,41.23488189,37.71917461,1080,2559,2880,1590,2031
1,41.24194501,37.72246423,1670,2886,2800,2372,2767
1,41.24446885,37.73000237,1248,2817,2824,2866,3414
1,41.24938428,37.7410245,1660,2683,2564,2617,3014
1,41.25885501,37.73346256,1660,2461,2614,1785,2765
1,41.29553855,37.73475993,1924,3013,3198,2115,3009
1,41.3401245,37.9168988,2138,2945,2842,2582,2548
1,41.34186979,37.91580924,1948,3168,3186,2677,2434
1,41.35067227,37.90900185,1148,3099,3496,2696,1711
1,41.35383267,37.90717021,1548,3431,3316,3128,2074
1,41.35556325,37.72560735,1610,3016,3454,1666,2720
1,41.35894405,37.90383781,1620,2664,2736,2755,2959
1,41.36191067,37.90417877,1942,3193,3084,3116,2354
